id,code,name,type,parent_id:id,user_type:id
pcg_m14_204131,204131,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20413,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204132,204132,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20413,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204133,204133,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20413,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20414,20414,Communes,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204141,204141,Communes membres du GFP,view,l10n_fr_m14.pcg_m14_20414,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041411,2041411,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204141,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041412,2041412,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204141,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041413,2041413,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204141,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204148,204148,Autres communes,view,l10n_fr_m14.pcg_m14_20414,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041481,2041481,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204148,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041482,2041482,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204148,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041483,2041483,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204148,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20415,20415,Groupements de collectivités,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204151,204151,GFP de rattachement,view,l10n_fr_m14.pcg_m14_20415,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041511,2041511,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204151,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041512,2041512,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204151,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041513,2041513,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204151,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204158,204158,Autres groupements,view,l10n_fr_m14.pcg_m14_20415,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041581,2041581,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204158,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041582,2041582,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204158,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041583,2041583,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204158,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20416,20416,Établissements et services rattachés,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204161,204161,Caisse des écoles,view,l10n_fr_m14.pcg_m14_20416,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041611,2041611,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204161,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041612,2041612,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204161,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041613,2041613,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204161,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204162,204162,CCAS,view,l10n_fr_m14.pcg_m14_20416,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041621,2041621,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204162,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041622,2041622,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204162,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041623,2041623,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204162,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204163,204163,A caractère administratif,view,l10n_fr_m14.pcg_m14_20416,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041631,2041631,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204163,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041632,2041632,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204163,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041633,2041633,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204163,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204164,204164,A caractère industriel et commercial,view,l10n_fr_m14.pcg_m14_20416,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041641,2041641,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_204164,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041642,2041642,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_204164,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041643,2041643,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_204164,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20417,20417,Autres établissements publics locaux,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204171,204171,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20417,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204172,204172,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20417,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204173,204173,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20417,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20418,20418,Autres organismes publics,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204181,204181,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20418,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204182,204182,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20418,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204183,204183,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20418,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2042,2042,Subventions d’équipement aux personnes de droit privé,view,l10n_fr_m14.pcg_m14_204,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20421,20421,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_2042,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20422,20422,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_2042,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20423,20423,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_2042,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2044,2044,Subventions d’équipement en nature,view,l10n_fr_m14.pcg_m14_204,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20441,20441,Organismes publics,view,l10n_fr_m14.pcg_m14_2044,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204411,204411,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20441,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204412,204412,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20441,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204413,204413,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20441,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20442,20442,Personnes de droit privé,view,l10n_fr_m14.pcg_m14_2044,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204421,204421,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20442,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204422,204422,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20442,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204423,204423,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20442,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_205,205,"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires",view,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2051,2051,Concessions et droits similaires,other,l10n_fr_m14.pcg_m14_205,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2052,2052,Quotas de gaz à effet de serre,other,l10n_fr_m14.pcg_m14_205,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_208,208,Autres immobilisations incorporelles,view,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2087,2087,Immobilisations incorporelles reçues au titre d’une mise à disposition,other,l10n_fr_m14.pcg_m14_208,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2088,2088,Autres immobilisations incorporelles,other,l10n_fr_m14.pcg_m14_208,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_209,209,Restitutions sur immobilisations incorporelles,view,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2095,2095,Consommation de quotas de gaz à effet de serre,other,l10n_fr_m14.pcg_m14_209,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_21,21,IMMOBILISATIONS CORPORELLES,view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_211,211,Terrains,view,l10n_fr_m14.pcg_m14_21,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2111,2111,Terrains nus,other,l10n_fr_m14.pcg_m14_211,l10n_fr_m14.fr_pcg_m14_default_type
